,Taxa
1531,1.3429
1532,1.3433
1533,1.3440
1534,1.3472
1535,1.3465
1536,1.3481
1537,1.3518
1538,1.3525
1539,1.3525
1540,1.3532
1541,1.3613
1542,1.3627
1543,1.3595
1544,1.3604
1545,1.3603
1546,1.3589
1547,1.3592
1548,1.3588
1549,1.3646
1550,1.3656
1551,1.3688
1552,1.3658
1553,1.3620
1554,1.3606
1555,1.3615
1556,1.3618
1557,1.3596
1558,1.3588
1559,1.3620
1560,1.3563
1561,1.3568
1562,1.3532
1563,1.3534
1564,1.3528
1565,1.3547
1566,1.3547
1567,1.3608
1568,1.3642
1569,1.3567
1570,1.3627
1571,1.3645
1572,1.3611
1573,1.3607
1574,1.3612
1575,1.3608
1576,1.3638
1577,1.3635
1578,1.3630
1579,1.3668
1580,1.3676
1581,1.3702
1582,1.3715
1583,1.3696
1584,1.3659
1585,1.3719
1586,1.3703
1587,1.3765
1588,1.3781
1589,1.3953
1590,1.3927
1591,1.3945
1592,1.3874
1593,1.3862
1594,1.3850
1595,1.3826
1596,1.3861
1597,1.3831
1598,1.3820
1599,1.3834
1600,1.3817
1601,1.3855
1602,1.3840
1603,1.3803
1604,1.3827
1605,1.3872
1606,1.3867
1607,1.3794
1608,1.3774
1609,1.3723
1610,1.3700
1611,1.3771
1612,1.3795
1613,1.3790
1614,1.3788
1615,1.3759
1616,1.3758
1617,1.3791
1618,1.3789
1619,1.3774
1620,1.3780
1621,1.3762
1622,1.3913
1623,1.3902
1624,1.3906
1625,1.3884
1626,1.3942
1627,1.3887
1628,1.3850
1629,1.3881
1630,1.3894
1631,1.3745
1632,1.3732
1633,1.3768
1634,1.3768
1635,1.3813
1636,1.3656
1637,1.3726
1638,1.3754
1639,1.3735
1640,1.3707
1641,1.3706
1642,1.3745
1643,1.3731
1644,1.3699
1645,1.3707
1646,1.3675
1647,1.3573
1648,1.3676
1649,1.3638
1650,1.3574
1651,1.3495
1652,1.3543
1653,1.3519
1654,1.3498
1655,1.3516
1656,1.3574
1657,1.3608
1658,1.3649
1659,1.3658
1660,1.3687
1661,1.3639
1662,1.3566
1663,1.3526
1664,1.3566
1665,1.3584
1666,1.3597
1667,1.3606
1668,1.3667
1669,1.3654
1670,1.3587
1671,1.3612
1672,1.3594
1673,1.3641
1674,1.3602
1675,1.3634
1676,1.3658
1677,1.3791
1678,1.3783
1679,1.3814
1680,1.3684
1681,1.3702
1682,1.3655
1683,1.3667
1684,1.3749
1685,1.3749
1686,1.3776
1687,1.3727
1688,1.3775
1689,1.3767
1690,1.3750
1691,1.3722
1692,1.3661
1693,1.3594
1694,1.3592
1695,1.3578
1696,1.3536
1697,1.3611
1698,1.3592
1699,1.3596
1700,1.3547
1701,1.3514
1702,1.3518
1703,1.3472
1704,1.3527
1705,1.3502
1706,1.3517
1707,1.3460
1708,1.3436
1709,1.3415
1710,1.3432
1711,1.3394
1712,1.3431
1713,1.3365
1714,1.3517
1715,1.3494
1716,1.3506
1717,1.3505
1718,1.3641
1719,1.3755
1720,1.3768
1721,1.3784
1722,1.3777
1723,1.3805
1724,1.3752
1725,1.3674
1726,1.3667
1727,1.3684
1728,1.3662
1729,1.3561
1730,1.3493
1731,1.3564
1732,1.3566
1733,1.3532
1734,1.3515
1735,1.3576
1736,1.3572
1737,1.3593
1738,1.3594
1739,1.3515
1740,1.3554
1741,1.3505
1742,1.3537
1743,1.3499
1744,1.3504
1745,1.3473
1746,1.3508
1747,1.3514
1748,1.3545
1749,1.3352
1750,1.3356
1751,1.3357
1752,1.3295
1753,1.3290
1754,1.3268
1755,1.3240
1756,1.3194
1757,1.3117
1758,1.3202
1759,1.3171
1760,1.3172
1761,1.3207
1762,1.3235
1763,1.3266
1764,1.3347
1765,1.3338
1766,1.3361
1767,1.3355
1768,1.3323
1769,1.3384
1770,1.3392
1771,1.3344
1772,1.3340
1773,1.3297
1774,1.3243
1775,1.3290
1776,1.3280
1777,1.3373
1778,1.3360
1779,1.3305
1780,1.3280
1781,1.3257
1782,1.3203
1783,1.3236
1784,1.3275
1785,1.3284
1786,1.3270
1787,1.3260
1788,1.3202
1789,1.3246
1790,1.3180
1791,1.3166
1792,1.3123
1793,1.3093
1794,1.3136
1795,1.3118
1796,1.3012
1797,1.3034
1798,1.3044
1799,1.2813
1800,1.2857
1801,1.2850
1802,1.2883
1803,1.2984
1804,1.2959
1805,1.3017
1806,1.3037
1807,1.3080
1808,1.3032
1809,1.3024
1810,1.3134
1811,1.3086
1812,1.3180
1813,1.3200
1814,1.3406
1815,1.3374
1816,1.3337
1817,1.3303
1818,1.3315
1819,1.3277
1820,1.3273
1821,1.3209
1822,1.3260
1823,1.3118
1824,1.3067
1825,1.3092
1826,1.3008
1827,1.3006
1828,1.2944
1829,1.2952
1830,1.2938
1831,1.2939
1832,1.2939
1833,1.2888
1834,1.2923
1835,1.2866
1836,1.2853
1837,1.2869
1838,1.2890
1839,1.2864
1840,1.2977
1841,1.2973
1842,1.2988
1843,1.3142
1844,1.3135
1845,1.3107
1846,1.3107
1847,1.3114
1848,1.3191
1849,1.3072
1850,1.3113
1851,1.2999
1852,1.3080
1853,1.3006
1854,1.2990
1855,1.3037
1856,1.3115
1857,1.3045
1858,1.3129
1859,1.3129
1860,1.3081
1861,1.3052
1862,1.3119
1863,1.3086
1864,1.3040
1865,1.3023
1866,1.2944
1867,1.2818
1868,1.2828
1869,1.2840
1870,1.2805
